run	target	task	rms	r	p	q
734462.5639	sol	fix	0.297	0.000	1.000	1.00
734462.5639	sol	sacc	3.876	0.735	0.000	0.99
734462.5639	sol	spem	3.887	0.848	0.000	0.97
734462.5639	sol	vergst	7.150	0.048	0.000	0.99
734462.5639	sol	vergtr	7.168	0.022	0.131	1.00
734462.57  	sol	fix	0.438	0.000	1.000	1.00
734462.57  	sol	sacc	3.957	0.720	0.000	1.00
734462.57  	sol	spem	3.751	0.856	0.000	0.98
734462.57  	sol	vergst	0.575	0.170	0.000	1.00
734462.57  	sol	vergtr	0.614	0.105	0.172	1.00
734462.5777	sol	fix	0.686	0.000	1.000	1.00
734462.5777	sol	sacc	3.997	0.720	0.000	0.99
734462.5777	sol	spem	3.990	0.835	0.000	0.97
734462.5777	sol	vergst	7.132	0.032	0.312	0.97
734462.5777	sol	vergtr	5.403	0.193	0.000	0.99
734462.5853	sol	fix	0.348	0.000	1.000	1.00
734462.5853	sol	sacc	4.168	0.687	0.000	0.97
734462.5853	sol	spem	3.795	0.835	0.000	0.94
734462.5853	sol	vergst	0.464	0.148	0.108	0.99
734462.5853	sol	vergtr	0.546	0.101	0.000	0.99
734462.5916	sol	fix	0.368	0.000	1.000	0.97
734462.5916	sol	sacc	4.224	0.683	0.000	0.99
734462.5916	sol	spem	3.889	0.840	0.000	0.96
734462.5916	sol	vergst	7.148	0.043	0.006	1.00
734462.5916	sol	vergtr	5.336	0.209	0.000	0.99
734462.6245	sol	fix	0.665	0.000	1.000	0.97
734462.6245	sol	sacc	4.053	0.718	0.000	0.99
734462.6245	sol	spem	3.410	0.877	0.000	0.97
734462.6245	sol	vergst	7.060	0.052	0.006	0.90
734462.6245	sol	vergtr	7.061	0.030	0.233	0.95
734462.63  	sol	fix	1.065	0.000	1.000	0.78
734462.63  	sol	sacc	4.405	0.619	0.000	0.82
734462.63  	sol	spem	3.826	0.722	0.000	0.67
734462.63  	sol	vergst	1.073	0.086	0.151	0.68
734462.63  	sol	vergtr	1.182	0.059	0.023	0.83
734462.6386	sol	fix	0.714	0.000	1.000	0.84
734462.6386	sol	sacc	4.490	0.591	0.000	0.85
734462.6386	sol	spem	4.171	0.687	0.000	0.65
734462.6386	sol	vergst	6.597	0.029	0.018	0.79
734462.6386	sol	vergtr	5.343	0.229	0.000	0.73
734462.6454	sol	fix	0.842	0.000	1.000	0.81
734462.6454	sol	sacc	4.636	0.549	0.000	0.78
734462.6454	sol	spem	4.029	0.775	0.000	0.82
734462.6454	sol	vergst	0.889	0.079	0.005	0.67
734462.6454	sol	vergtr	0.922	0.061	0.000	0.80
734462.653 	sol	fix	0.442	0.000	1.000	0.90
734462.653 	sol	sacc	4.055	0.686	0.000	0.96
734462.653 	sol	spem	3.681	0.819	0.000	0.87
734462.653 	sol	vergst	7.045	0.059	0.273	0.90
734462.653 	sol	vergtr	5.005	0.206	0.000	0.92
734462.6818	CSM	fix	1.001	0.000	1.000	0.97
734462.6818	CSM	sacc	4.833	0.613	0.000	0.99
734462.6818	CSM	spem	4.991	0.734	0.000	0.99
734462.6818	CSM	vergst	7.123	0.070	0.002	0.97
734462.6818	CSM	vergtr	7.149	0.055	0.018	0.99
734462.6874	CSM	fix	3.064	0.000	1.000	0.84
734462.6874	CSM	sacc	5.460	0.445	0.000	0.99
734462.6874	CSM	spem	5.628	0.640	0.000	0.98
734462.6874	CSM	vergst	3.109	0.084	0.026	0.98
734462.6874	CSM	vergtr	3.075	0.127	0.004	0.95
734462.694 	CSM	fix	1.468	0.000	1.000	0.76
734462.694 	CSM	sacc	4.828	0.558	0.000	0.96
734462.694 	CSM	spem	6.854	0.472	0.000	0.94
734462.694 	CSM	vergst	6.056	0.172	0.000	0.80
734462.694 	CSM	vergtr	4.602	0.205	0.000	0.87
734462.7018	CSM	fix	1.135	0.000	1.000	0.90
734462.7018	CSM	sacc	4.923	0.518	0.000	0.98
734462.7018	CSM	spem	5.613	0.638	0.000	0.97
734462.7018	CSM	vergst	1.211	0.075	0.000	0.93
734462.7018	CSM	vergtr	1.206	0.081	0.099	0.97
734462.7093	CSM	fix	1.537	0.000	1.000	0.91
734462.7093	CSM	sacc	4.920	0.469	0.000	0.81
734462.7093	CSM	spem	5.421	0.668	0.000	0.96
734462.7093	CSM	vergst	6.210	0.104	0.000	0.89
734462.7093	CSM	vergtr	3.802	0.236	0.000	0.90
734462.7472	CSM	fix	1.269	0.000	1.000	0.92
734462.7472	CSM	sacc	4.649	0.644	0.000	0.95
734462.7472	CSM	spem	5.049	0.681	0.000	0.84
734462.7472	CSM	vergst	6.967	0.072	0.000	0.89
734462.7472	CSM	vergtr	6.997	0.042	0.005	0.89
734462.7532	CSM	fix	2.679	0.000	1.000	0.73
734462.7532	CSM	sacc	5.206	0.452	0.000	0.83
734462.7532	CSM	spem	6.248	0.528	0.000	0.91
734462.7532	CSM	vergst	2.658	0.167	0.000	0.69
734462.7532	CSM	vergtr	2.749	0.105	0.002	0.84
734462.7732	CSM	fix	1.769	0.000	1.000	0.69
734462.7732	CSM	sacc	4.877	0.534	0.000	0.90
734462.7732	CSM	spem	5.420	0.698	0.000	0.97
734462.7732	CSM	vergst	1.821	0.073	0.001	0.95
734462.7732	CSM	vergtr	1.837	0.096	0.000	0.91
734462.7801	CSM	fix	NaN	NaN	NaN	0.00
734462.7801	CSM	sacc	NaN	NaN	NaN	0.02
734462.7801	CSM	spem	NaN	NaN	NaN	0.00
734462.7801	CSM	vergst	NaN	NaN	NaN	0.00
734462.7801	CSM	vergtr	NaN	NaN	NaN	0.23
734462.7994	CSM	fix	1.419	0.000	1.000	0.81
734462.7994	CSM	sacc	4.448	0.659	0.000	0.97
734462.7994	CSM	spem	4.045	0.836	0.000	0.96
734462.7994	CSM	vergst	6.405	0.051	0.123	0.94
734462.7994	CSM	vergtr	5.465	0.207	0.000	0.93
734483.4198	sol	fix	0.717	0.000	1.000	0.96
734483.4198	sol	sacc	3.932	0.742	0.000	1.00
734483.4198	sol	spem	3.636	0.911	0.000	1.00
734483.4198	sol	vergst	8.776	0.076	0.000	0.98
734483.4198	sol	vergtr	8.778	0.013	0.317	0.97
734483.4253	sol	fix	0.908	0.000	1.000	0.94
734483.4253	sol	sacc	4.234	0.704	0.000	0.99
734483.4253	sol	spem	4.427	0.882	0.000	0.96
734483.4253	sol	vergst	1.026	0.136	0.032	0.99
734483.4253	sol	vergtr	1.005	0.107	0.000	0.99
734483.4317	sol	fix	0.297	0.000	1.000	0.97
734483.4317	sol	sacc	4.317	0.705	0.000	1.00
734483.4317	sol	spem	3.704	0.900	0.000	0.99
734483.4317	sol	vergst	8.611	0.040	0.060	0.99
734483.4317	sol	vergtr	5.872	0.195	0.000	1.00
734483.4387	sol	fix	0.330	0.000	1.000	0.94
734483.4387	sol	sacc	4.212	0.710	0.000	0.99
734483.4387	sol	spem	3.616	0.910	0.000	0.98
734483.4387	sol	vergst	0.474	0.124	0.068	0.97
734483.4387	sol	vergtr	0.596	0.183	0.127	0.99
734483.4455	sol	fix	0.307	0.000	1.000	0.94
734483.4455	sol	sacc	4.101	0.722	0.000	1.00
734483.4455	sol	spem	3.785	0.908	0.000	0.99
734483.4455	sol	vergst	8.980	0.072	0.010	0.98
734483.4455	sol	vergtr	5.630	0.157	0.000	0.98
734483.4789	sol	fix	0.536	0.000	1.000	0.99
734483.4789	sol	sacc	3.913	0.741	0.000	0.99
734483.4789	sol	spem	3.396	0.886	0.000	0.99
734483.4789	sol	vergst	7.215	0.042	0.180	0.98
734483.4789	sol	vergtr	7.232	0.009	0.381	0.97
734483.4849	sol	fix	0.646	0.000	1.000	0.96
734483.4849	sol	sacc	4.004	0.722	0.000	0.99
734483.4849	sol	spem	3.501	0.879	0.000	0.99
734483.4849	sol	vergst	0.792	0.085	0.090	0.97
734483.4849	sol	vergtr	0.821	0.062	0.181	0.97
734483.4939	sol	fix	0.588	0.000	1.000	0.97
734483.4939	sol	sacc	3.916	0.731	0.000	0.98
734483.4939	sol	spem	2.844	0.918	0.000	0.99
734483.4939	sol	vergst	6.952	0.049	0.007	0.96
734483.4939	sol	vergtr	5.450	0.220	0.104	0.98
734483.4996	sol	fix	0.602	0.000	1.000	0.96
734483.4996	sol	sacc	3.915	0.714	0.000	0.97
734483.4996	sol	spem	3.378	0.882	0.000	0.98
734483.4996	sol	vergst	0.704	0.108	0.002	0.96
734483.4996	sol	vergtr	0.752	0.074	0.000	0.97
734483.5066	sol	fix	0.351	0.000	1.000	0.97
734483.5066	sol	sacc	3.853	0.730	0.000	0.98
734483.5066	sol	spem	3.132	0.900	0.000	0.98
734483.5066	sol	vergst	7.266	0.057	0.000	0.97
734483.5066	sol	vergtr	5.343	0.204	0.000	0.97
734483.5287	CSM	fix	0.937	0.000	1.000	0.95
734483.5287	CSM	sacc	4.753	0.649	0.000	1.00
734483.5287	CSM	spem	4.394	0.877	0.000	1.00
734483.5287	CSM	vergst	9.099	0.059	0.000	0.99
734483.5287	CSM	vergtr	9.116	0.021	0.377	0.99
734483.5344	CSM	fix	1.033	0.000	1.000	0.96
734483.5344	CSM	sacc	4.465	0.687	0.000	1.00
734483.5344	CSM	spem	4.513	0.877	0.000	0.99
734483.5344	CSM	vergst	1.047	0.087	0.000	0.99
734483.5344	CSM	vergtr	1.133	0.119	0.000	1.00
734483.5405	CSM	fix	0.602	0.000	1.000	0.96
734483.5405	CSM	sacc	4.374	0.704	0.000	0.99
734483.5405	CSM	spem	4.862	0.876	0.000	0.98
734483.5405	CSM	vergst	9.776	0.068	0.076	0.98
734483.5405	CSM	vergtr	5.883	0.134	0.000	0.98
734483.5479	CSM	fix	0.988	0.000	1.000	0.93
734483.5479	CSM	sacc	4.488	0.695	0.000	0.99
734483.5479	CSM	spem	5.111	0.869	0.000	0.98
734483.5479	CSM	vergst	1.035	0.188	0.000	0.97
734483.5479	CSM	vergtr	1.102	0.065	0.010	0.96
734483.5552	CSM	fix	0.720	0.000	1.000	0.92
734483.5552	CSM	sacc	4.531	0.672	0.000	0.99
734483.5552	CSM	spem	4.821	0.869	0.000	0.98
734483.5552	CSM	vergst	9.489	0.025	0.354	0.99
734483.5552	CSM	vergtr	5.824	0.171	0.000	0.95
734483.5759	CSM	fix	0.737	0.000	1.000	0.96
734483.5759	CSM	sacc	4.609	0.625	0.000	0.96
734483.5759	CSM	spem	4.050	0.842	0.000	0.97
734483.5759	CSM	vergst	7.300	0.044	0.007	0.97
734483.5759	CSM	vergtr	7.309	0.017	0.364	0.96
734483.5828	CSM	fix	1.036	0.000	1.000	0.94
734483.5828	CSM	sacc	4.396	0.670	0.000	0.96
734483.5828	CSM	spem	3.813	0.856	0.000	0.96
734483.5828	CSM	vergst	1.085	0.029	0.038	0.95
734483.5828	CSM	vergtr	1.106	0.058	0.012	0.96
734483.5886	CSM	fix	0.751	0.000	1.000	0.95
734483.5886	CSM	sacc	4.232	0.675	0.000	0.97
734483.5886	CSM	spem	3.605	0.863	0.000	0.97
734483.5886	CSM	vergst	6.636	0.129	0.000	0.93
734483.5886	CSM	vergtr	5.057	0.059	0.243	0.94
734483.6025	CSM	fix	0.993	0.000	1.000	0.89
734483.6025	CSM	sacc	4.337	0.658	0.000	0.94
734483.6025	CSM	spem	3.610	0.874	0.000	0.96
734483.6025	CSM	vergst	1.084	0.116	0.002	0.95
734483.6025	CSM	vergtr	1.088	0.099	0.000	0.96
734483.6086	CSM	fix	0.664	0.000	1.000	0.96
734483.6086	CSM	sacc	4.385	0.656	0.000	0.97
734483.6086	CSM	spem	3.409	0.883	0.000	0.99
734483.6086	CSM	vergst	6.910	0.044	0.080	0.96
734483.6086	CSM	vergtr	5.138	0.171	0.000	0.97
734484.4076	sol	fix	0.831	0.000	1.000	0.93
734484.4076	sol	sacc	4.098	0.742	0.000	0.99
734484.4076	sol	spem	3.718	0.870	0.000	0.97
734484.4076	sol	vergst	7.838	0.043	0.006	0.99
734484.4076	sol	vergtr	7.842	0.027	0.130	0.99
734484.4131	sol	fix	0.472	0.000	1.000	0.99
