run	target	task	rms	r	p	q
734462.5639	sol	fix	0.151	0.000	1.000	1.00
734462.5639	sol	sacc	1.895	0.744	0.000	0.99
734462.5639	sol	spem	1.937	0.850	0.000	0.97
734462.5639	sol	vergst	3.543	0.048	0.000	0.99
734462.5639	sol	vergtr	3.552	0.022	0.135	1.00
734462.57  	sol	fix	0.214	0.000	1.000	1.00
734462.57  	sol	sacc	1.938	0.728	0.000	1.00
734462.57  	sol	spem	1.866	0.861	0.000	0.98
734462.57  	sol	vergst	0.283	0.175	0.000	1.00
734462.57  	sol	vergtr	0.303	0.109	0.088	1.00
734462.5777	sol	fix	0.327	0.000	1.000	1.00
734462.5777	sol	sacc	1.961	0.729	0.000	0.99
734462.5777	sol	spem	2.000	0.836	0.000	0.97
734462.5777	sol	vergst	3.540	0.036	0.256	0.97
734462.5777	sol	vergtr	2.678	0.195	0.000	0.99
734462.5853	sol	fix	0.189	0.000	1.000	1.00
734462.5853	sol	sacc	2.047	0.698	0.000	0.97
734462.5853	sol	spem	1.897	0.845	0.000	0.94
734462.5853	sol	vergst	0.231	0.137	0.116	0.99
734462.5853	sol	vergtr	0.272	0.096	0.008	0.99
734462.5916	sol	fix	0.183	0.000	1.000	0.97
734462.5916	sol	sacc	2.079	0.691	0.000	0.99
734462.5916	sol	spem	1.935	0.846	0.000	0.96
734462.5916	sol	vergst	3.552	0.040	0.029	1.00
734462.5916	sol	vergtr	2.645	0.213	0.000	0.99
734462.6245	sol	fix	0.327	0.000	1.000	0.97
734462.6245	sol	sacc	1.990	0.727	0.000	0.99
734462.6245	sol	spem	1.691	0.881	0.000	0.97
734462.6245	sol	vergst	3.496	0.052	0.008	0.90
734462.6245	sol	vergtr	3.497	0.028	0.260	0.95
734462.63  	sol	fix	0.541	0.000	1.000	0.78
734462.63  	sol	sacc	2.175	0.631	0.000	0.82
734462.63  	sol	spem	1.897	0.743	0.000	0.67
734462.63  	sol	vergst	0.546	0.094	0.001	0.68
734462.63  	sol	vergtr	0.597	0.057	0.040	0.83
734462.6386	sol	fix	0.390	0.000	1.000	0.84
734462.6386	sol	sacc	2.268	0.596	0.000	0.85
734462.6386	sol	spem	2.204	0.691	0.000	0.65
734462.6386	sol	vergst	3.340	0.032	0.069	0.79
734462.6386	sol	vergtr	2.675	0.234	0.000	0.73
734462.6454	sol	fix	0.441	0.000	1.000	0.81
734462.6454	sol	sacc	2.336	0.556	0.000	0.78
734462.6454	sol	spem	2.045	0.785	0.000	0.82
734462.6454	sol	vergst	0.463	0.083	0.003	0.67
734462.6454	sol	vergtr	0.480	0.063	0.017	0.80
734462.653 	sol	fix	0.226	0.000	1.000	0.90
734462.653 	sol	sacc	2.001	0.698	0.000	0.96
734462.653 	sol	spem	1.864	0.827	0.000	0.87
734462.653 	sol	vergst	3.526	0.047	0.285	0.90
734462.653 	sol	vergtr	2.475	0.209	0.000	0.92
734462.6818	CSM	fix	0.534	0.000	1.000	0.97
734462.6818	CSM	sacc	2.373	0.622	0.000	0.99
734462.6818	CSM	spem	2.442	0.741	0.000	0.99
734462.6818	CSM	vergst	3.503	0.070	0.002	0.97
734462.6818	CSM	vergtr	3.516	0.057	0.011	0.99
734462.6874	CSM	fix	1.670	0.000	1.000	0.84
734462.6874	CSM	sacc	2.745	0.439	0.000	0.99
734462.6874	CSM	spem	2.795	0.646	0.000	0.98
